taxon_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary
Abelmoschus ficulneus,FALSE,TRUE,NA,NA,1,NA,NA
Abelmoschus manihot,FALSE,NA,NA,NA,2--3,NA,NA
Abelmoschus moschatus,TRUE,TRUE,NA,NA,NA,NA,NA
Abelmoschus moschatus subsp. tuberosus,TRUE,NA,NA,NA,1,NA,NA
Abrodictyum caudatum,FALSE,NA,NA,NA,1--5,NA,NA
Abrodictyum obscurum,FALSE,NA,NA,NA,NA,NA,NA
Abrotanella,NA,NA,NA,NA,1--5,NA,NA
Abrotanella forsteroides,TRUE,NA,NA,NA,NA,NA,NA
Abrotanella nivigena,TRUE,NA,NA,NA,1--5,NA,NA
Abrus precatorius,TRUE,NA,NA,NA,NA,NA,NA
Abrus precatorius subsp. precatorius,TRUE,NA,NA,NA,NA,NA,NA
Abutilon,NA,NA,NA,NA,0--1,NA,NA
Abutilon calliphyllum,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon cryptopetalum,TRUE,NA,NA,NA,1,NA,NA
Abutilon fraseri,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon fraseri subsp. diplotrichum,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon fraseri subsp. fraseri,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon halophilum,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon hannii,FALSE,TRUE,NA,NA,1,NA,NA
Abutilon indicum,FALSE,NA,NA,NA,1,NA,NA
Abutilon indicum subsp. albescens,FALSE,NA,NA,NA,1,NA,NA
Abutilon lepidum,FALSE,NA,NA,NA,1,NA,NA
Abutilon leucopetalum,TRUE,NA,NA,NA,1,NA,NA
Abutilon macrum,FALSE,NA,NA,NA,1,NA,NA
Abutilon malvifolium,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon otocarpum,TRUE,TRUE,NA,NA,1,NA,NA
Abutilon oxycarpum,FALSE,TRUE,NA,NA,0--1,NA,NA
Abutilon oxycarpum f. acutatum,NA,NA,NA,NA,0--1,NA,NA
Abutilon oxycarpum var. incanum,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon oxycarpum var. oxycarpum,FALSE,FALSE,NA,NA,0--1,NA,NA
Abutilon oxycarpum var. subsagittatum,FALSE,FALSE,NA,NA,0--1,NA,NA
Acacia X grayana,NA,NA,NA,NA,5--20,NA,NA
Acacia abbreviata,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia abrupta,FALSE,NA,NA,NA,4--5,NA,NA
Acacia acanthoclada,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. acanthoclada,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia acinacea,TRUE,NA,3,NA,5--20,NA,NA
Acacia acradenia,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia aculeatissima,TRUE,TRUE,4,NA,5--20,NA,NA
Acacia acuminata,TRUE,TRUE,NA,5,NA,NA,NA
Acacia acuminata subsp. burkittii,NA,NA,NA,NA,5--20,NA,NA
Acacia adoxa var. adoxa,NA,TRUE,NA,NA,NA,NA,NA
Acacia adsurgens,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia adunca,FALSE,NA,NA,NA,NA,NA,NA
Acacia aemula subsp. muricata,FALSE,NA,NA,NA,NA,NA,NA
Acacia alata,TRUE,TRUE,NA,2,NA,NA,NA
Acacia alaticaulis,FALSE,NA,3,NA,NA,NA,NA
Acacia alleniana,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia alpina,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia amanda,TRUE,NA,NA,NA,4--5,NA,NA
Acacia ammobia,FALSE,TRUE,NA,NA,6--10,NA,NA
Acacia amoena,FALSE,NA,NA,NA,5--20,NA,NA
Acacia ampliceps,FALSE,NA,NA,NA,2--3,NA,NA
Acacia anaticeps,TRUE,NA,NA,NA,NA,NA,NA
Acacia ancistrocarpa,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia ancistrophylla var. lissophylla,FALSE,NA,NA,NA,5--20,NA,NA
Acacia aneura,TRUE,TRUE,NA,4,10--,NA,NA
Acacia aneura var. Bloods Range (D.J.Nelson 631),NA,NA,NA,NA,10--,NA,NA
Acacia aneura var. aneura,FALSE,NA,NA,10,10--,NA,NA
Acacia aneura var. latifolia,NA,NA,NA,NA,10--,NA,NA
Acacia aneura var. major,FALSE,NA,NA,NA,10--,NA,NA
Acacia anomala,TRUE,NA,NA,NA,NA,NA,NA
Acacia aphylla,FALSE,NA,NA,2.5,NA,NA,NA
Acacia applanata,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia aprepta,FALSE,NA,NA,NA,5--20,NA,NA
Acacia aptaneura,FALSE,NA,NA,NA,10--,NA,NA
Acacia arafurica,FALSE,NA,NA,NA,2--3,NA,NA
Acacia argyraea,FALSE,NA,NA,NA,4--5,NA,NA
Acacia argyrophylla,FALSE,NA,NA,NA,5--20,NA,NA
Acacia arida,TRUE,NA,NA,NA,NA,NA,NA
Acacia armitii,FALSE,NA,NA,NA,2--3,NA,NA
Acacia aspera,FALSE,NA,NA,NA,5--20,NA,NA
Acacia aspera subsp. aspera,FALSE,NA,NA,NA,5--20,NA,NA
Acacia aspera subsp. parviceps,FALSE,NA,NA,NA,5--20,NA,NA
Acacia asperulacea,FALSE,NA,NA,NA,4--5,NA,NA
Acacia assimilis subsp. atroviridis,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia aulacocarpa,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia auriculiformis,FALSE,TRUE,NA,NA,6--10,NA,NA
Acacia auronitens,TRUE,TRUE,NA,2,NA,NA,NA
Acacia ausfeldii,FALSE,NA,NA,NA,5--20,NA,NA
Acacia axillaris,FALSE,NA,NA,NA,NA,NA,NA
Acacia ayersiana,TRUE,TRUE,NA,NA,10--,NA,NA
Acacia baileyana,FALSE,TRUE,2.616279,NA,NA,NA,NA
Acacia barbinervis,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia barrettiorum,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia barringtonensis,TRUE,TRUE,3,NA,NA,NA,3
Acacia basedowii,FALSE,NA,NA,NA,2--3,NA,NA
Acacia baueri subsp. baueri,FALSE,NA,2,NA,NA,NA,NA
Acacia beadleana,TRUE,TRUE,3,NA,NA,NA,3
Acacia beckleri,NA,NA,NA,NA,5--20,NA,NA
Acacia betchei,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia bidentata,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia biflora,FALSE,NA,NA,2.5,NA,NA,NA
Acacia binervata,TRUE,TRUE,5,NA,NA,NA,NA
Acacia binervia,FALSE,NA,2,NA,5--20,NA,NA
Acacia bivenosa,TRUE,TRUE,NA,NA,2--3,NA,NA
Acacia bivenosa subsp. wayi,NA,NA,NA,NA,5--20,NA,NA
Acacia blakei subsp. diphylla,FALSE,NA,NA,NA,NA,NA,NA
Acacia blakelyi,TRUE,TRUE,NA,2,NA,NA,NA
Acacia blayana,FALSE,NA,NA,NA,NA,NA,NA
Acacia boormanii,FALSE,NA,NA,NA,5--20,NA,NA
Acacia brachybotrya,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia brachystachya,FALSE,NA,NA,NA,10--,NA,NA
Acacia brockii,FALSE,TRUE,NA,NA,4--5,NA,NA
Acacia browniana,FALSE,TRUE,NA,2,NA,NA,NA
Acacia browniana var. browniana,FALSE,NA,NA,2.41666666666667,NA,NA,NA
Acacia brownii,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia brunioides subsp. brunioides,FALSE,TRUE,4,NA,NA,NA,NA
Acacia bulgaensis,FALSE,NA,3,NA,NA,NA,NA
Acacia burbidgeae,FALSE,TRUE,8,NA,5--20,NA,NA
Acacia burkittii,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia buxifolia,TRUE,TRUE,2,NA,NA,NA,2
Acacia buxifolia subsp. buxifolia,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia buxifolia subsp. pubiflora,TRUE,FALSE,5,NA,5--20,2,NA
Acacia caerulescens,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia calamifolia,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia calcicola,FALSE,NA,NA,NA,NA,NA,NA
Acacia caleyi,NA,NA,NA,NA,5--20,NA,NA
Acacia calligera,FALSE,NA,NA,NA,2--3,NA,NA
Acacia cambagei,TRUE,TRUE,NA,NA,10--,NA,NA
Acacia carneorum,TRUE,NA,NA,NA,5--20,NA,NA
Acacia caroleae,NA,NA,NA,NA,5--20,NA,NA
Acacia cataractae,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia catenulata subsp. occidentalis,TRUE,NA,NA,NA,NA,NA,NA
Acacia cavealis,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia cedroides,FALSE,NA,NA,2,NA,NA,NA
Acacia celastrifolia,FALSE,NA,NA,3,NA,NA,NA
Acacia celsa,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia chamaeleon,TRUE,NA,NA,NA,NA,NA,NA
Acacia cheelii,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia chrysella,NA,TRUE,NA,NA,NA,NA,NA
Acacia chrysocephala,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia chrysotricha,FALSE,NA,NA,NA,NA,NA,NA
Acacia cincinnata,TRUE,TRUE,NA,12,NA,NA,NA
Acacia clunies-rossiae,FALSE,NA,NA,NA,1--5,NA,NA
Acacia cochlearis,FALSE,NA,NA,2,1--5,NA,NA
Acacia cognata,TRUE,NA,NA,NA,5--20,NA,NA
Acacia colei,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia colei var. colei,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia colletioides,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia complanata,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia concurrens,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia conferta,FALSE,NA,NA,NA,5--20,NA,NA
Acacia congesta,TRUE,NA,NA,NA,NA,NA,NA
Acacia conjunctifolia,TRUE,NA,NA,NA,2--3,NA,NA
Acacia conspersa,FALSE,NA,NA,NA,4--5,NA,NA
Acacia constablei,FALSE,NA,NA,NA,NA,NA,NA
Acacia continua,FALSE,NA,NA,NA,5--20,NA,NA
Acacia convallium,FALSE,NA,NA,NA,2--3,NA,NA
Acacia coriacea,TRUE,NA,NA,NA,5--20,NA,NA
Acacia costiniana,TRUE,NA,NA,NA,5--20,NA,NA
Acacia courtii,FALSE,NA,NA,NA,NA,NA,NA
Acacia cowleana,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia crassa,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia crassicarpa,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia crassistipula,FALSE,NA,NA,NA,NA,NA,NA
Acacia cremiflora,FALSE,NA,NA,NA,5--20,NA,NA
Acacia cultriformis,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia cupularis,TRUE,NA,NA,NA,5--20,NA,NA
Acacia curranii,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia cuthbertsonii subsp. cuthbertsonii,TRUE,NA,NA,NA,6--10,NA,NA
Acacia cyclops,FALSE,NA,NA,2,NA,NA,NA
Acacia cyperophylla,FALSE,NA,NA,NA,10--,NA,NA
Acacia cyperophylla var. cyperophylla,FALSE,NA,NA,NA,10--,NA,NA
Acacia dallachiana,FALSE,NA,NA,NA,5--20,NA,NA
Acacia daviesii,TRUE,FALSE,NA,NA,5--20,NA,NA
Acacia daviesioides,FALSE,NA,NA,4,NA,NA,NA
Acacia dawsonii,FALSE,NA,NA,NA,5--20,NA,NA
Acacia dealbata,TRUE,TRUE,5,NA,5--20,NA,NA
Acacia dealbata subsp. dealbata,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia dealbata subsp. subalpina,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia deanei,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia deanei subsp. deanei,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia deanei subsp. paucijuga,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia debilis,FALSE,NA,NA,NA,1--5,NA,NA
Acacia decora,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia decurrens,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia dentifera,FALSE,NA,NA,NA,NA,NA,NA
Acacia desmondii,TRUE,NA,NA,NA,6--10,NA,NA
Acacia dictyophleba,TRUE,TRUE,NA,NA,2--3,NA,NA
Acacia difficilis,TRUE,TRUE,NA,NA,2--3,NA,NA
Acacia difformis,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia diffusa,NA,NA,NA,NA,1--5,NA,NA
Acacia dimidiata,TRUE,TRUE,NA,NA,2--3,NA,NA
Acacia dimorpha,NA,TRUE,NA,NA,NA,NA,NA
Acacia disparrima subsp. disparrima,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia divergens,TRUE,TRUE,NA,2,NA,NA,NA
Acacia dolichophylla,TRUE,NA,NA,NA,2--3,NA,NA
Acacia doratoxylon,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia drepanocarpa,FALSE,NA,NA,NA,2--3,NA,NA
Acacia drepanocarpa subsp. drepanocarpa,FALSE,NA,NA,NA,2--3,NA,NA
Acacia drepanocarpa subsp. latifolia,FALSE,NA,NA,NA,2--3,NA,NA
Acacia drewiana subsp. minor,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia drummondii,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia drummondii subsp. candolleana,FALSE,NA,NA,3,NA,NA,NA
Acacia drummondii subsp. drummondii,FALSE,NA,NA,3,NA,NA,NA
Acacia drummondii subsp. elegans,FALSE,NA,NA,2,NA,NA,NA
Acacia dunnii,FALSE,NA,NA,NA,2--3,NA,NA
Acacia echinula,FALSE,NA,NA,NA,1--5,NA,NA
Acacia echinuliflora,FALSE,NA,NA,NA,2--3,NA,NA
Acacia elachantha,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia elata,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia elongata,TRUE,NA,NA,NA,1--5,NA,NA
Acacia enervia subsp. enervia,NA,TRUE,NA,NA,NA,NA,NA
Acacia enervia subsp. explicata,NA,TRUE,NA,NA,NA,NA,NA
Acacia enterocarpa,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia ericifolia,FALSE,NA,NA,3,NA,NA,NA
Acacia erinacea,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia estrophiolata,TRUE,FALSE,NA,NA,10--,NA,NA
Acacia euthycarpa,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia euthycarpa subsp. euthycarpa,FALSE,NA,NA,NA,5--20,NA,NA
Acacia euthycarpa subsp. oblanceolata,FALSE,NA,NA,NA,5--20,NA,NA
Acacia excelsa,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia excelsa subsp. angusta,FALSE,NA,NA,NA,5--20,NA,NA
Acacia excelsa subsp. excelsa,FALSE,NA,NA,NA,5--20,NA,NA
Acacia extensa,FALSE,TRUE,NA,1.58333333333333,NA,NA,NA
Acacia exudans,FALSE,NA,NA,NA,5--20,NA,NA
Acacia fagonioides,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia falcata,FALSE,TRUE,1.744186,NA,1--5,NA,NA
Acacia falciformis,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia farinosa,FALSE,NA,NA,NA,5--20,NA,NA
Acacia fecunda,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia filicifolia,TRUE,TRUE,5,NA,5--20,NA,NA
Acacia filifolia,FALSE,NA,NA,3,NA,NA,NA
Acacia filipes,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia fimbriata,FALSE,TRUE,4,NA,NA,NA,NA
Acacia flavescens,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia flexifolia,TRUE,NA,NA,NA,5--20,NA,NA
Acacia floribunda,TRUE,TRUE,3,NA,5--20,2.6162790697674416,2.5
Acacia frigescens,TRUE,NA,NA,NA,5--20,NA,NA
Acacia froggattii,FALSE,NA,NA,NA,2--3,NA,NA
Acacia fulva,FALSE,TRUE,3,NA,NA,NA,NA
Acacia galioides,FALSE,NA,NA,NA,2--3,NA,NA
Acacia galioides var. leioclada,NA,NA,NA,NA,2--3,NA,NA
Acacia genistifolia,FALSE,TRUE,3,NA,1--5,NA,NA
Acacia georgensis,FALSE,NA,NA,NA,5--20,NA,NA
Acacia georginae,FALSE,FALSE,NA,NA,10--,NA,NA
Acacia gladiiformis,FALSE,NA,NA,NA,5--20,NA,NA
Acacia glandulicarpa,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia glaucoptera,FALSE,TRUE,NA,3,NA,NA,NA
Acacia gonocarpa,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia gonophylla,FALSE,NA,NA,4,NA,NA,NA
Acacia gordonii,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia gracilenta,FALSE,NA,NA,NA,2--3,NA,NA
Acacia granitica,FALSE,TRUE,5,NA,NA,NA,NA
Acacia gunnii,TRUE,TRUE,NA,NA,1--5,NA,2
Acacia hakeoides,TRUE,NA,NA,NA,5--20,NA,NA
Acacia halliana,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia hammondii,FALSE,NA,NA,NA,2--3,NA,NA
Acacia handonis,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia harpophylla,TRUE,FALSE,NA,NA,5--20,NA,NA
Acacia hastulata,FALSE,NA,NA,1.25,NA,NA,NA
Acacia havilandiorum,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia helicophylla,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia hemignosta,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia hemiteles,FALSE,TRUE,NA,3,NA,NA,NA
Acacia hemsleyi,FALSE,NA,NA,NA,4--5,NA,NA
Acacia hilliana,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia hispidula,FALSE,TRUE,1.182171,NA,NA,NA,NA
Acacia holosericea,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia homalophylla,TRUE,NA,NA,NA,5--20,NA,NA
Acacia horridula,FALSE,NA,NA,2,NA,NA,NA
Acacia howittii,FALSE,NA,NA,NA,5--20,NA,NA
Acacia huegelii,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia humifusa,FALSE,NA,NA,NA,2--3,NA,NA
Acacia hyaloneura,FALSE,NA,NA,NA,2--3,NA,NA
Acacia implexa,TRUE,TRUE,1,NA,5--20,NA,NA
Acacia inaequilatera,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia incrassata,FALSE,NA,NA,NA,NA,NA,NA
Acacia incurva,FALSE,NA,NA,2.08333333333333,NA,NA,NA
Acacia incurvaneura,FALSE,NA,NA,NA,10--,NA,NA
Acacia infecunda,TRUE,NA,NA,NA,5--20,NA,NA
Acacia ingramii,FALSE,NA,NA,NA,NA,NA,NA
Acacia irrorata,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia irrorata subsp. irrorata,TRUE,TRUE,2.965116,NA,5--20,NA,NA
Acacia irrorata subsp. velutinella,TRUE,NA,8,NA,5--20,NA,NA
Acacia iteaphylla,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia ixiophylla,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia jasperensis,FALSE,NA,NA,NA,4--5,NA,NA
Acacia jennerae,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia jonesii,FALSE,NA,NA,NA,NA,NA,NA
Acacia juncifolia,TRUE,TRUE,NA,NA,1--5,NA,NA
Acacia juniperina,NA,NA,NA,NA,1--5,NA,NA
Acacia kelleri,FALSE,NA,NA,NA,4--5,NA,NA
Acacia kempeana,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia kettlewelliae,FALSE,NA,NA,NA,5--20,NA,NA
Acacia kulnurensis,FALSE,TRUE,3,NA,NA,NA,NA
Acacia kybeanensis,TRUE,NA,NA,NA,5--20,NA,NA
Acacia kydrensis,FALSE,NA,NA,NA,5--20,NA,NA
Acacia laccata,FALSE,NA,NA,NA,2--3,NA,NA
Acacia lacertensis,FALSE,NA,NA,NA,4--5,NA,NA
Acacia lamprocarpa,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia lanigera,FALSE,NA,NA,NA,1--5,NA,NA
Acacia lanigera var. gracilipes,FALSE,NA,NA,NA,1--5,NA,NA
Acacia lanigera var. lanigera,FALSE,NA,NA,NA,1--5,NA,NA
Acacia lanigera var. whanii,FALSE,NA,NA,NA,1--5,NA,NA
Acacia laricina var. crassifolia,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia lasiocarpa,FALSE,TRUE,NA,3,NA,NA,NA
Acacia lasiocarpa var. bracteolata,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia lasiocarpa var. sedifolia,FALSE,NA,NA,NA,NA,NA,NA
Acacia lateriticola,TRUE,NA,NA,NA,NA,NA,NA
Acacia latescens,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia latifolia,TRUE,NA,NA,NA,2--3,NA,NA
Acacia latipes,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia latisepala,FALSE,TRUE,2,NA,NA,NA,NA
Acacia latzii,FALSE,NA,NA,NA,10--,NA,NA
Acacia leiocalyx,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia leiocalyx subsp. herveyensis,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia leiocalyx subsp. leiocalyx,TRUE,NA,NA,NA,5--20,NA,NA
Acacia leprosa,FALSE,NA,NA,NA,1--5,NA,NA
Acacia leprosa var. graveolens,FALSE,NA,NA,NA,5--20,NA,NA
Acacia leprosa var. uninervia,FALSE,TRUE,NA,NA,1--5,NA,NA
Acacia leptocarpa,FALSE,NA,NA,NA,4--5,NA,NA
Acacia leptoclada,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia leptophleba,FALSE,NA,NA,NA,2--3,NA,NA
Acacia leptospermoides subsp. leptospermoides,NA,TRUE,NA,NA,NA,NA,NA
Acacia leptostachya,FALSE,TRUE,NA,NA,1--5,NA,NA
Acacia leucoclada,FALSE,NA,NA,NA,5--20,NA,NA
Acacia ligulata,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia ligustrina,FALSE,NA,NA,3,NA,NA,NA
Acacia limbata,FALSE,NA,NA,NA,4--5,NA,NA
Acacia linarioides,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia linearifolia,FALSE,NA,NA,NA,5--20,NA,NA
Acacia lineata,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia lineolata,TRUE,NA,NA,NA,5--20,NA,NA
Acacia linifolia,FALSE,TRUE,1.085271,NA,NA,NA,NA
Acacia littorea,FALSE,TRUE,NA,2.75,NA,NA,NA
Acacia loderi,TRUE,NA,NA,NA,5--20,NA,NA
Acacia longifolia,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia longifolia subsp. longifolia,TRUE,TRUE,1.647287,NA,5--20,NA,NA
Acacia longifolia subsp. sophorae,TRUE,TRUE,5,NA,5--20,NA,NA
Acacia longissima,FALSE,NA,2.965116,NA,NA,NA,NA
Acacia lucasii,TRUE,NA,NA,NA,5--20,NA,NA
Acacia lunata,FALSE,NA,NA,NA,NA,NA,NA
Acacia lycopodiifolia,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia lysiphloia,TRUE,TRUE,NA,NA,2--3,NA,NA
Acacia mabellae,TRUE,NA,NA,NA,5--20,NA,NA
Acacia macdonnellensis,FALSE,NA,NA,NA,10--,NA,NA
Acacia macdonnellensis subsp. macdonnellensis,FALSE,TRUE,NA,NA,10--,NA,NA
Acacia macdonnellensis subsp. teretifolia,FALSE,NA,NA,NA,10--,NA,NA
Acacia macnuttiana,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia maconochieana,FALSE,NA,NA,NA,10--,NA,NA
Acacia maidenii,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia maitlandii,TRUE,FALSE,NA,NA,4--5,NA,NA
Acacia mangium,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia mariae,FALSE,NA,NA,NA,5--20,NA,NA
Acacia marramamba,TRUE,NA,NA,NA,NA,NA,NA
Acacia matthewii,TRUE,NA,NA,NA,NA,NA,NA
Acacia mearnsii,TRUE,TRUE,5,NA,5--20,NA,NA
Acacia megalantha,TRUE,NA,NA,NA,2--3,NA,NA
Acacia meiantha,TRUE,NA,NA,NA,NA,NA,NA
Acacia melanoxylon,TRUE,TRUE,5,NA,5--20,3,NA
Acacia melleodora,TRUE,TRUE,NA,NA,2--3,NA,NA
Acacia melvillei,TRUE,NA,NA,NA,5--20,NA,NA
Acacia menzelii,FALSE,NA,NA,NA,5--20,NA,NA
Acacia merrallii,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia microbotrya,TRUE,TRUE,NA,4,NA,NA,NA
Acacia microcarpa,TRUE,NA,NA,NA,5--20,NA,NA
Acacia mimula,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia minutifolia,FALSE,NA,NA,NA,4--5,NA,NA
Acacia minutissima,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia minyura,TRUE,TRUE,NA,NA,6--10,NA,NA
Acacia mitchellii,TRUE,TRUE,4,NA,1--5,NA,NA
Acacia moirii subsp. recurvistipula,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia montana,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia monticola,TRUE,TRUE,NA,NA,2--3,NA,NA
Acacia mooreana,FALSE,NA,NA,2.41666666666667,NA,NA,NA
Acacia mountfordiae,FALSE,NA,NA,NA,4--5,NA,NA
Acacia mucronata,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia mucronata subsp. longifolia,TRUE,NA,1,NA,5--20,1,NA
Acacia mulganeura,FALSE,NA,NA,NA,NA,NA,NA
Acacia multisiliqua,FALSE,TRUE,NA,NA,4--5,NA,NA
Acacia multispicata,FALSE,NA,NA,5,NA,NA,NA
Acacia multistipulosa,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia murrayana,TRUE,TRUE,3,NA,2--3,NA,NA
Acacia mutabilis subsp. mutabilis,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia myrtifolia,TRUE,TRUE,2,1.75,5--20,NA,NA
Acacia nanodealbata,TRUE,NA,NA,NA,5--20,NA,NA
Acacia nanopravissima,TRUE,FALSE,NA,NA,5--20,NA,NA
Acacia neriifolia,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia nervosa,TRUE,TRUE,NA,2.08333333333333,NA,NA,NA
Acacia neurocarpa,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia notabilis,TRUE,NA,NA,NA,5--20,NA,NA
Acacia nuperrima,FALSE,NA,NA,NA,4--5,NA,NA
Acacia nyssophylla,TRUE,TRUE,NA,NA,5--20,NA,NA
Acacia obliquinervia,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia obovata,TRUE,NA,NA,NA,NA,NA,NA
Acacia obtusata,FALSE,NA,NA,NA,5--20,NA,NA
Acacia obtusifolia,TRUE,TRUE,4,NA,5--20,NA,NA
Acacia octonervia,NA,TRUE,NA,NA,NA,NA,NA
Acacia olgana,FALSE,NA,NA,NA,6--10,NA,NA
Acacia oligoneura,TRUE,TRUE,NA,NA,4--5,NA,NA
Acacia oncinocarpa,FALSE,TRUE,NA,NA,4--5,NA,NA
Acacia orthocarpa,FALSE,NA,NA,NA,4--5,NA,NA
